brand,model,image_url,source_url,license_name,license_url,author,attribution_text
Audemars Piguet,Unspecified,https://upload.wikimedia.org/wikipedia/commons/8/88/Audemars-Piguet-img_0324.jpg,https://commons.wikimedia.org/wiki/File:Audemars-Piguet-img_0324.jpg,CC BY-SA 2.0 fr,https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en,Rama,"""File:Audemars-Piguet-img 0324.jpg"" by Rama via Wikimedia Commons, CC BY-SA 2.0 fr (https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en)"
Audemars Piguet,Unspecified,https://upload.wikimedia.org/wikipedia/commons/b/bd/Audemars-Piguet-img_0325.jpg,https://commons.wikimedia.org/wiki/File:Audemars-Piguet-img_0325.jpg,CC BY-SA 2.0 fr,https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en,Rama,"""File:Audemars-Piguet-img 0325.jpg"" by Rama via Wikimedia Commons, CC BY-SA 2.0 fr (https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en)"
Audemars Piguet,Unspecified,https://upload.wikimedia.org/wikipedia/commons/e/ec/Audemars-Piguet-img_0326.jpg,https://commons.wikimedia.org/wiki/File:Audemars-Piguet-img_0326.jpg,CC BY-SA 2.0 fr,https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en,Rama,"""File:Audemars-Piguet-img 0326.jpg"" by Rama via Wikimedia Commons, CC BY-SA 2.0 fr (https://creativecommons.org/licenses/by-sa/2.0/fr/deed.en)"
Audemars Piguet,Unspecified,https://upload.wikimedia.org/wikipedia/commons/a/aa/Audemars_2385.jpg,https://commons.wikimedia.org/wiki/File:Audemars_2385.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Magnus26,"""File:Audemars 2385.jpg"" by Magnus26 via Wikimedia Commons, CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0)"
Audemars Piguet,Unspecified,https://upload.wikimedia.org/wikipedia/commons/5/59/Audemars_2385_00.jpg,https://commons.wikimedia.org/wiki/File:Audemars_2385_00.jpg,CC BY-SA 3.0,https://creativecommons.org/licenses/by-sa/3.0,Magnus26,"""File:Audemars 2385 00.jpg"" by Magnus26 via Wikimedia Commons, CC BY-SA 3.0 (https://creativecommons.org/licenses/by-sa/3.0)"
Audemars Piguet,Quantième,https://upload.wikimedia.org/wikipedia/commons/f/fa/Quanti%C3%A8me.jpg,https://commons.wikimedia.org/wiki/File:Quanti%C3%A8me.jpg,CC0,http://creativecommons.org/publicdomain/zero/1.0/deed.en,jcw,"""File:Quantième.jpg"" by jcw via Wikimedia Commons, CC0 (http://creativecommons.org/publicdomain/zero/1.0/deed.en)"
Audemars Piguet,Quantième,https://upload.wikimedia.org/wikipedia/commons/1/16/Quanti%C3%A8me_perp%C3%A9tuel.jpg,https://commons.wikimedia.org/wiki/File:Quanti%C3%A8me_perp%C3%A9tuel.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,jcw,"""File:Quantième perpétuel.jpg"" by jcw via Wikimedia Commons, CC BY 3.0 (https://creativecommons.org/licenses/by/3.0)"
Audemars Piguet,Star Wheel,https://upload.wikimedia.org/wikipedia/commons/e/ea/Star_Wheel.jpg,https://commons.wikimedia.org/wiki/File:Star_Wheel.jpg,CC BY 3.0,https://creativecommons.org/licenses/by/3.0,jcw,"""File:Star Wheel.jpg"" by jcw via Wikimedia Commons, CC BY 3.0 (https://creativecommons.org/licenses/by/3.0)"
Audemars Piguet,Unspecified,https://upload.wikimedia.org/wikipedia/commons/d/d6/Cristiano_Ronaldo_and_Lionel_Messi_-_Portugal_vs_Argentina%2C_9th_February_2011.jpg,"https://commons.wikimedia.org/wiki/File:Cristiano_Ronaldo_and_Lionel_Messi_-_Portugal_vs_Argentina,_9th_February_2011.jpg",CC BY 3.0,https://creativecommons.org/licenses/by/3.0,Fanny Schertzer,"""File:Cristiano Ronaldo and Lionel Messi - Portugal vs Argentina, 9th February 2011.jpg"" by Fanny Schertzer via Wikimedia Commons, CC BY 3.0 (https://creativecommons.org/licenses/by/3.0)"
Audemars Piguet,Royal Oak,https://upload.wikimedia.org/wikipedia/commons/3/35/Royal_Oak_Automatic_.png,https://commons.wikimedia.org/wiki/File:Royal_Oak_Automatic_.png,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0,Bugattiben48,"""File:Royal Oak Automatic .png"" by Bugattiben48 via Wikimedia Commons, CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0)"
